,customer_id,gross_revenue,recency_days,qt_products,frequency,qt_returns,cluster
0,17850,5391.21,372.0,297.0,34.0,40.0,3
1,13047,3232.59,56.0,171.0,0.028391167192429023,35.0,3
2,12583,6705.38,2.0,232.0,0.04043126684636118,50.0,6
3,13748,948.25,95.0,28.0,0.017985611510791366,0.0,1
4,15100,876.0,333.0,3.0,0.075,22.0,4
5,15291,4623.3,25.0,102.0,0.040229885057471264,29.0,0
6,14688,5630.87,7.0,327.0,0.05737704918032787,399.0,6
7,17809,5411.91,16.0,61.0,0.03361344537815126,41.0,0
8,15311,60767.9,0.0,2379.0,0.24396782841823056,474.0,4
9,16098,2005.63,87.0,67.0,0.024475524475524476,0.0,2
11,17420,598.83,50.0,30.0,0.009287925696594427,0.0,7
12,16029,72882.09,38.0,241.0,0.18507462686567164,8004.0,4
13,16250,389.44,261.0,24.0,0.017857142857142856,0.0,4
14,12431,6382.45,35.0,233.0,0.04437869822485207,50.0,6
15,17511,91062.38,2.0,963.0,0.08355795148247978,1535.0,4
16,17548,103.3,233.0,5.0,0.0,190.0,4
17,13705,711.86,7.0,28.0,0.00819672131147541,0.0,1
19,13408,28117.04,1.0,478.0,0.16666666666666666,104.0,4
20,13767,17220.36,2.0,368.0,0.09973045822102426,64.0,6
21,17924,2962.5,11.0,31.0,0.019337016574585635,19.0,2
22,13448,3539.37,16.0,195.0,0.01680672268907563,22.0,3
23,15862,832.88,8.0,147.0,0.010958904109589041,0.0,5
24,15513,14758.220000000001,33.0,308.0,0.05588235294117647,164.0,6
26,16218,3084.68,29.0,84.0,0.020348837209302327,11.0,0
27,14045,1659.75,109.0,6.0,0.015151515151515152,0.0,5
28,14307,2995.72,88.0,180.0,0.021052631578947368,0.0,0
30,17920,4192.2,4.0,695.0,0.04607046070460705,0.0,0
31,12838,683.13,33.0,123.0,0.0058823529411764705,0.0,1
32,13255,399.51,9.0,13.0,0.005494505494505495,3.0,4
34,18085,689.95,330.0,29.0,0.046511627906976744,0.0,7
35,13758,3190.55,11.0,117.0,0.019337016574585635,0.0,3
36,13694,65039.62,3.0,568.0,0.13513513513513514,1504.0,4
37,15983,1475.02,22.0,113.0,0.011396011396011397,0.0,5
38,14849,7930.54,21.0,388.0,0.07102272727272728,38.0,6
40,16210,21076.3,1.0,122.0,0.0456989247311828,0.0,6
41,17897,566.6,172.0,114.0,0.014925373134328358,6.0,4
42,17377,4100.92,23.0,418.0,0.05714285714285714,1.0,0
43,16552,379.73,242.0,17.0,0.015267175572519083,0.0,4
44,17181,239.92000000000002,57.0,23.0,0.006329113924050633,0.0,4
45,17951,1008.5400000000001,39.0,20.0,0.008982035928143712,6.0,5
47,12748,32317.32,0.0,4580.0,0.5522788203753352,1535.0,4
48,15012,423.04,53.0,128.0,0.00625,0.0,4
49,12868,1607.0600000000002,185.0,107.0,0.031914893617021274,0.0,2
50,17572,226.75000000000003,71.0,12.0,0.013245033112582781,0.0,4
51,14078,1049.37,101.0,65.0,0.022058823529411766,0.0,7
52,14001,2043.0800000000002,45.0,39.0,0.009146341463414634,0.0,5
53,12662,3543.78,0.0,220.0,0.029490616621983913,18.0,0
54,15525,823.42,2.0,177.0,0.008086253369272238,2.0,1
56,17905,800.24,71.0,34.0,0.013245033112582781,0.0,1
57,15485,2575.0,30.0,86.0,0.008746355685131196,0.0,3
58,12433,13375.87,0.0,420.0,0.01876675603217158,0.0,6
59,16955,518.67,184.0,25.0,0.021164021164021163,20.0,7
61,15605,1198.23,36.0,67.0,0.01483679525222552,0.0,1
62,18144,2888.75,7.0,43.0,0.03278688524590164,0.0,3
63,15922,369.5,373.0,11.0,0.0,2.0,4
64,14594,379.83,7.0,53.0,0.00546448087431694,0.0,4
66,14911,140450.72,1.0,5673.0,0.5349462365591398,3332.0,4
67,16456,2158.37,99.0,111.0,0.01824817518248175,0.0,2
68,17841,40967.72,1.0,7838.0,0.3333333333333333,203.0,4
70,12472,6068.11,32.0,332.0,0.020771513353115726,128.0,6
71,17346,2676.56,3.0,500.0,0.04054054054054054,18.0,3
75,17873,1729.7800000000002,80.0,43.0,0.017064846416382253,48.0,2
76,13093,7832.47,275.0,159.0,0.08163265306122448,18.0,6
77,12921,16587.09,9.0,720.0,0.10164835164835165,72.0,6
78,13468,5704.97,1.0,302.0,0.09946236559139784,8.0,0
79,17760,287.59,21.0,25.0,0.005681818181818182,0.0,4
81,16928,2839.65,80.0,208.0,0.05802047781569966,20.0,0
82,16048,256.44,373.0,8.0,0.0,1.0,4
84,14496,538.8100000000001,311.0,19.0,0.03225806451612903,0.0,4
85,14696,2078.95,4.0,130.0,0.018970189701897018,4.0,3
86,16539,1388.81,2.0,45.0,0.01078167115902965,0.0,1
87,17025,357.77,60.0,9.0,0.009584664536741214,0.0,4
88,13777,25977.16,0.0,197.0,0.08847184986595175,90.0,4
89,17690,4757.95,30.0,256.0,0.043731778425655975,6.0,3
90,12947,1603.99,143.0,97.0,0.02608695652173913,8.0,2
91,17460,622.4300000000001,94.0,29.0,0.021505376344086023,60.0,4
92,18229,7276.900000000001,11.0,164.0,0.055248618784530384,0.0,0
94,17069,2709.7000000000003,28.0,143.0,0.02608695652173913,24.0,3
96,14606,12021.65,1.0,2698.0,0.2446236559139785,245.0,6
98,16835,180.85,128.0,10.0,0.00816326530612245,0.0,4
99,15235,2247.51,217.0,143.0,0.07692307692307693,0.0,3
100,13576,6717.34,10.0,126.0,0.049586776859504134,6.0,0
103,13090,8895.82,8.0,154.0,0.03571428571428571,69.0,0
104,15694,6464.4,0.0,77.0,0.03494623655913978,12.0,3
105,14741,1400.34,11.0,59.0,0.01662049861495845,0.0,2
106,13715,1079.34,281.0,105.0,0.054945054945054944,8.0,2
107,14092,4076.91,7.0,214.0,0.039886039886039885,5.0,0
110,15752,2637.38,39.0,411.0,0.021021021021021023,5.0,3
112,14047,1308.6100000000001,8.0,32.0,0.013736263736263736,4.0,1
114,13941,5112.96,21.0,45.0,0.014245014245014245,57.0,0
115,17017,8694.26,2.0,252.0,0.05405405405405406,60.0,6
116,14135,4690.31,1.0,134.0,0.04043126684636118,0.0,6
118,12471,17424.05,2.0,439.0,0.07458563535911603,246.0,6
119,15601,6776.56,11.0,410.0,0.038781163434903045,5.0,6
120,13418,6127.43,11.0,304.0,0.04986149584487535,79.0,6
121,14766,2473.37,8.0,135.0,0.01675977653631285,26.0,3
122,15658,1024.1000000000001,190.0,48.0,0.027472527472527472,10.0,7
123,14388,3212.84,10.0,186.0,0.022099447513812154,8.0,3
124,14901,1421.29,11.0,96.0,0.024930747922437674,2.0,2
125,18041,4183.39,11.0,472.0,0.05817174515235457,9.0,6
126,15955,4416.26,24.0,183.0,0.040229885057471264,11.0,0
128,16244,1522.75,211.0,91.0,0.012422360248447204,0.0,5
129,15111,1567.48,29.0,84.0,0.008746355685131196,0.0,5
131,14390,4652.82,10.0,286.0,0.024861878453038673,11.0,0
132,16546,787.15,290.0,25.0,0.024390243902439025,852.0,5
133,15260,1810.77,100.0,77.0,0.025735294117647058,24.0,2
134,13305,2000.86,4.0,81.0,0.02717391304347826,0.0,2
135,14491,340.93,175.0,17.0,0.01015228426395939,0.0,4
136,14060,6140.42,4.0,202.0,0.051630434782608696,12.0,6
139,17287,1064.11,26.0,124.0,0.02023121387283237,0.0,2
140,15363,326.0,372.0,16.0,0.0,1.0,4
141,12915,363.65,148.0,22.0,0.008928571428571428,0.0,4
142,15544,3546.71,9.0,259.0,0.024793388429752067,4.0,6
143,15738,4812.42,18.0,173.0,0.04519774011299435,15.0,6
144,16042,1197.27,22.0,71.0,0.016129032258064516,10.0,2
145,17381,20275.61,8.0,109.0,0.07967032967032966,3.0,4
146,15827,1836.0900000000001,73.0,115.0,0.046822742474916385,39.0,2
147,14180,4748.52,10.0,240.0,0.06906077348066299,9.0,2
148,13117,984.91,21.0,76.0,0.022792022792022793,0.0,2
149,16916,576.26,23.0,143.0,0.0057306590257879654,0.0,1
150,17964,471.7,31.0,104.0,0.005865102639296188,0.0,7
151,14466,2272.4,29.0,72.0,0.02040816326530612,0.0,2
152,17235,550.06,25.0,29.0,0.005763688760806916,0.0,4
154,17802,1285.04,82.0,140.0,0.010344827586206896,9.0,5
155,15107,319.5,311.0,16.0,0.09836065573770492,7.0,4
157,14449,907.1,18.0,258.0,0.011299435028248588,0.0,5
160,16781,311.25,372.0,17.0,0.0,2.0,4
162,13491,1215.82,51.0,86.0,0.03115264797507788,0.0,2
163,16186,4006.94,22.0,218.0,0.03428571428571429,12.0,6
164,17685,3191.53,16.0,130.0,0.019662921348314606,0.0,3
165,17581,11045.04,0.0,440.0,0.06720430107526881,66.0,6
166,15732,294.12,212.0,14.0,0.0125,0.0,4
167,13138,962.39,22.0,63.0,0.017142857142857144,0.0,1
168,15823,15.0,372.0,1.0,0.0,282.0,4
170,17567,4331.48,7.0,165.0,0.021917808219178082,204.0,0
171,15061,54534.14,3.0,403.0,0.13008130081300814,282.0,4
172,16203,592.9,58.0,35.0,0.012738853503184714,1.0,7
173,15640,12515.66,4.0,484.0,0.04076086956521739,35.0,6
174,15574,702.25,177.0,168.0,0.020512820512820513,0.0,1
175,16770,770.1,57.0,145.0,0.015873015873015872,12.0,1
176,17838,2779.3,26.0,121.0,0.014450867052023121,458.0,3
177,17228,1906.09,15.0,208.0,0.022408963585434174,0.0,3
178,14829,697.55,29.0,42.0,0.011661807580174927,38.0,1
180,17412,1258.06,2.0,66.0,0.01891891891891892,0.0,2
181,14031,17286.86,7.0,250.0,0.052054794520547946,417.0,6
182,14775,1011.9,58.0,60.0,0.009554140127388535,0.0,2
183,12971,11189.91,3.0,305.0,0.23306233062330622,85.0,6
184,15834,2231.25,70.0,272.0,0.01932367149758454,4.0,5
185,17659,2999.46,17.0,158.0,0.03380281690140845,39.0,3
186,15299,3907.01,67.0,6.0,0.019672131147540985,5.0,6
187,15646,447.64000000000004,157.0,35.0,0.013953488372093023,6.0,1
189,14443,1420.2,53.0,93.0,0.012698412698412698,7.0,5
190,14156,117379.63,9.0,1400.0,0.15193370165745856,859.0,4
192,13402,621.23,127.0,39.0,0.00816326530612245,0.0,1
193,18168,1169.94,176.0,131.0,0.030612244897959183,9.0,2
194,17757,5601.34,1.0,740.0,0.08086253369272237,4.0,6
195,14625,899.63,196.0,53.0,0.012121212121212121,5.0,7
197,13798,37153.85,1.0,349.0,0.15363881401617252,434.0,4
198,15384,642.41,169.0,41.0,0.010526315789473684,3.0,5
199,14264,333.97,154.0,17.0,0.02197802197802198,4.0,4
200,13295,201.20000000000002,359.0,10.0,0.0,1.0,4
202,16634,217.9,222.0,9.0,0.013333333333333334,0.0,4
203,18239,1561.6100000000001,218.0,88.0,0.032467532467532464,0.0,2
205,13145,618.52,39.0,6.0,0.012012012012012012,3.0,4
206,14395,3507.71,2.0,350.0,0.024324324324324326,4.0,3
207,14865,52.2,7.0,4.0,0.005479452054794521,0.0,4
208,15093,4597.02,18.0,108.0,0.01694915254237288,27.0,6
210,16150,2053.02,42.0,117.0,0.015151515151515152,43.0,2
211,17552,930.41,60.0,49.0,0.01282051282051282,10.0,5
212,14236,490.86,80.0,15.0,0.00684931506849315,0.0,7
213,17961,1296.44,21.0,249.0,0.1111111111111111,0.0,2
214,14573,1653.42,179.0,235.0,0.046632124352331605,6.0,2
215,17135,1139.73,16.0,52.0,0.01971830985915493,0.0,2
216,17396,7312.8,39.0,26.0,0.02108433734939759,0.0,0
218,12967,1660.9,358.0,19.0,0.15384615384615385,195.0,1
221,15240,1706.57,44.0,78.0,0.018726591760299626,8.0,3
222,18225,5509.12,3.0,271.0,0.03314917127071823,38.0,6
223,13370,754.87,371.0,39.0,0.0,7.0,1
224,16883,276.73,187.0,38.0,0.010869565217391304,0.0,4
225,13520,2984.35,58.0,87.0,0.019169329073482427,4.0,3
226,12841,4022.35,4.0,420.0,0.0681198910081744,74.0,0
227,16905,3102.43,5.0,208.0,0.01912568306010929,1.0,3
228,12427,699.8,21.0,28.0,0.008571428571428572,297.0,5
