,customer_id,gross_revenue,recency_days,qt_products,frequency,qt_returns,cluster
2,12583,6705.38,2.0,232.0,0.04043126684636118,50.0,6
6,14688,5630.87,7.0,327.0,0.05737704918032787,399.0,6
14,12431,6382.45,35.0,233.0,0.04437869822485207,50.0,6
20,13767,17220.36,2.0,368.0,0.09973045822102426,64.0,6
24,15513,14758.220000000001,33.0,308.0,0.05588235294117647,164.0,6
38,14849,7930.54,21.0,388.0,0.07102272727272728,38.0,6
40,16210,21076.3,1.0,122.0,0.0456989247311828,0.0,6
58,12433,13375.87,0.0,420.0,0.01876675603217158,0.0,6
70,12472,6068.11,32.0,332.0,0.020771513353115726,128.0,6
76,13093,7832.47,275.0,159.0,0.08163265306122448,18.0,6
77,12921,16587.09,9.0,720.0,0.10164835164835165,72.0,6
96,14606,12021.65,1.0,2698.0,0.2446236559139785,245.0,6
115,17017,8694.26,2.0,252.0,0.05405405405405406,60.0,6
116,14135,4690.31,1.0,134.0,0.04043126684636118,0.0,6
118,12471,17424.05,2.0,439.0,0.07458563535911603,246.0,6
119,15601,6776.56,11.0,410.0,0.038781163434903045,5.0,6
120,13418,6127.43,11.0,304.0,0.04986149584487535,79.0,6
125,18041,4183.39,11.0,472.0,0.05817174515235457,9.0,6
136,14060,6140.42,4.0,202.0,0.051630434782608696,12.0,6
142,15544,3546.71,9.0,259.0,0.024793388429752067,4.0,6
143,15738,4812.42,18.0,173.0,0.04519774011299435,15.0,6
163,16186,4006.94,22.0,218.0,0.03428571428571429,12.0,6
165,17581,11045.04,0.0,440.0,0.06720430107526881,66.0,6
173,15640,12515.66,4.0,484.0,0.04076086956521739,35.0,6
181,14031,17286.86,7.0,250.0,0.052054794520547946,417.0,6
183,12971,11189.91,3.0,305.0,0.23306233062330622,85.0,6
186,15299,3907.01,67.0,6.0,0.019672131147540985,5.0,6
194,17757,5601.34,1.0,740.0,0.08086253369272237,4.0,6
208,15093,4597.02,18.0,108.0,0.01694915254237288,27.0,6
222,18225,5509.12,3.0,271.0,0.03314917127071823,38.0,6
242,12557,11990.960000000001,16.0,33.0,0.014084507042253521,0.0,6
253,12682,11028.22,3.0,496.0,0.08423913043478261,0.0,6
275,17243,8668.45,1.0,399.0,0.07065217391304347,8.0,6
279,16033,8816.4,5.0,1137.0,0.054945054945054944,23.0,6
284,18109,8052.97,1.0,444.0,0.07065217391304347,18.0,6
285,13069,4436.12,0.0,425.0,0.06504065040650407,419.0,6
287,14800,4339.74,47.0,385.0,0.037267080745341616,21.0,6
288,16839,16594.35,8.0,266.0,0.09418282548476455,504.0,6
290,16931,4604.22,5.0,898.0,0.057692307692307696,0.0,6
291,16814,6499.2,14.0,323.0,0.059154929577464786,1.0,6
292,13269,5346.2300000000005,1.0,316.0,0.04076086956521739,5.0,6
294,12567,8609.28,22.0,438.0,0.02881844380403458,216.0,6
299,18118,5651.42,10.0,1278.0,0.07242339832869081,5.0,6
322,15023,6783.86,3.0,560.0,0.030054644808743168,8.0,6
329,15555,4802.18,12.0,897.0,0.04481792717086835,28.0,6
334,12720,5115.7300000000005,2.0,342.0,0.0681198910081744,17.0,6
337,15502,6923.98,15.0,209.0,0.02824858757062147,407.0,6
346,17677,16363.23,1.0,304.0,0.08174386920980926,50.0,6
350,17428,17256.85,0.0,328.0,0.07608695652173914,39.0,6
